index,MORGAN_BTSTR,PUBCHEM_ACTIVITY_OUTCOME,Inhibition Observed
19122,1101011000011100110101100001101001011000101001111000000000100000,0,0
19127,1111101011101011110000111000000011001111110100010011100101110100,1,1
19132,0101110010100110010110101010001111001001010100111110011001101001,0,1
19137,1110010111110101110101111100101001101011001110011101110110100111,1,1
19142,1001000010100110010110111010001011001001010010101110010000101000,0,1
19147,1110000100100001010100100000000000001001000010000001000000101001,2,1
19152,1011101000110101011100101100001001111001110000111111101110100001,2,1
19157,1111101111110111110000111011101011111011000101010101000111110011,2,1
19162,1101001001110000111000100100010101001000000111101100011011100001,2,1
19167,1100010010111000010010101001000101011101100100001011110000100111,0,1
19172,1100000000100011010100101010000001011011011010110100010000100110,1,1
19177,1101000011100011010000101010000001001011011111010010010000100111,0,1
19182,1110010111111000110011101000101010001001110000011000001001010110,0,1
19187,1110100011101011110100100101001111111011000100110101001010101101,0,1
19192,1111000001100001010101100010100100001001000101001111011101100101,0,1
19197,1111010111101100110101101011011111011111100100001110001111101101,2,1
19202,1110110111100100110101101100001110101111101100011100010111100101,2,1
19207,1111010111111101110001110111111011101101111110010101111101110111,2,1
19212,1111010001110110111100101010000101101001001110100110110101110011,0,1
19217,1101110011111001110100111010101000011011001111110111001010110111,1,1
19222,0110111011101010110001110010001001101011110111001100100100110101,0,0
19227,1001101011110101110101100011001001101111000101000001111101101011,2,1
19232,1111100011100111010010110111101011001001111100110110100110100111,2,1
19237,1110011011110001111101100111001101111101011100010111110111110101,0,1
19242,1110100011101101111100101010010011111111010100101111101111110101,1,1
19247,1001111011111001110111101110101111101111010100111100100000100101,1,1
19252,1110010000000011110001100111000001011110000011010011001101000000,1,1
19257,1110010111110000110001100000100011101111110100010010001101100111,2,1
19262,1010000000101010110110111000011111111111011111000010010100111101,1,1
19267,1101000011100001110001101111111101011011011111010110001101101010,1,1
19272,1110000010100011111001110001101001011111010010011000001101010111,2,1
19277,0110001010110010011100110001100001001001001101001100110101110010,2,1
19282,1000000100110011111011100110101011001011010000000100011100000110,0,1
19287,1011000011101101110111111100001111111111000101011101011111101011,0,1
19292,1000011011110101111001101110110111001001010110110111011101100110,2,1
19297,1111000111100111110000111111000101111111000000011000000101100101,0,1
19302,1101001010111010110100101010000111111011110100101100100100100100,0,1
19307,1101011010101000110001101000110111111011010100011000110000100100,0,0
19312,1111110101101111111110101011111111111111001110111111011101111011,0,1
19317,1110001100101000110010100110001000111011110010011010001110010100,1,1
19322,1000100110000111010100100100000011001100101110111110100000101010,1,1
19327,1101011011111101111101101110001011001101001100110111111111110111,2,1
19332,1101011101111000110101111111111011111001100100010110111100111111,1,1
19337,1100010011010000111010100110101101101111010111010100001101100111,0,1
19342,1000111110110000110011101000101101111001010110010110001111101101,0,0
19347,1011101111111101110000110101001101111011110101111100011100000101,0,1
19352,1110110000110000111010101010011101101011110111010110111110011101,1,1
19357,1110010001100111110001100010011101111111110111101111010101100110,0,1
19362,1000100111100011110100101011000011101011000100110110001111101101,0,1
19367,1010110000111010110010101000001101001011010110000001001110100101,1,1
19372,1101010000110010011100101111110101001001000100101100111111100101,1,1
19377,1110001011110111111001101101010111111011110110000111011101100101,2,1
19382,1000110110110100110000100111001001101111000001010000011001011100,1,1
19387,1001010111111100110000100011011001111111100100010010011101001100,2,1
19392,0100011010110000110000100111011011111011111100100100010000110111,0,1
19397,1001010000100100110100110010011111111101011010110110110011101111,2,1
19402,1000110011110110111101100011000101011011101001010101010110011111,0,1
19407,1010000101110101111110101000011101001011010100010010010111100101,2,1
19412,1000011110110011111110111011100101101111110101101100000111110101,0,1
19417,1110010101101111111111100001111101101011010111110100111100100111,2,1
19422,1111010010110010010110101010010001001001010100111111110100110101,1,1
19427,1110000011100111111010101010100001101111111111000010011100100100,1,1
19432,0100000011100001111010100010110001101011010100000011000100010100,2,1
19437,1110110011110000110000110000000011001100000100011010000101101001,0,0
19442,1000101011100011110000101011101011001011011011010000001000101100,0,1
19447,1101000111101101111010101010000111101011010101011111010110111101,1,1
19452,1101011000000101110011100011100101001011010010110000000101001011,0,1
19457,1010111010110010110001101011001001001011010011000101001101011001,0,1
19462,1000010000110010110110100011011001011011011111010111010110110101,0,1
19467,1000010111100100110010101000000101001111000111010101011100110101,2,1
19472,1110111010100001110000101100101010101001110101011010100001110100,0,0
19477,1100111010110000110011100111001111101001111001110100100101110100,1,1
19482,1110100011100110110110101100101011101101010101001110100101110110,0,1
19487,1100110001110000110100101100001011101101010101101110100111100111,2,1
19492,1100111111100000111111111011100101011011011100110101101000100101,1,1
19497,1000111111100110110010100011101111011111011001110100101100001111,1,1
19502,1011100100110000110000101010001001101011010100000011011001100111,2,1
19507,1101010001111011111101111111011001111011001110111101101111111111,0,1
19512,1000000010110100111100101010001101001001000110111100001111110101,2,1
19517,1100100111100110111000110001100101011111101101010110010101110101,1,1
19522,1100000111111011111110111010001011011011010111011011000111110101,2,1
19527,1011000000110111110001100110000011011011000110111101011100100001,2,1
19532,1100010010100111110111111110001000101001010001111100000000010100,1,1
19537,1110000001110101010000101011000101011101000100000010010101010110,2,1
19542,1100111010110001110101100011101010011000000011010100001001101001,2,1
19547,1001010011111100110011101010100001101011100100101000011000110011,2,1
19552,1001011011101101110111100101011101011110010111110111001110101111,0,0
19557,1011000111110000110101100111111011001011010110010110011101100111,0,1
19562,1011010000110011110110111100010101011011011111011010010100110101,0,1
19567,1100110010101110111001110101001001111111000001111111011000110100,0,0
19572,1000000111100001111000101010100011001001100010110000000111100101,1,1
19577,1100001001101001110101001011011111111011011100010101100000110111,0,0
19582,1010100111111100111111100110101111101001000111110100110111101100,2,1
19587,1000011110111010111000101011001011111111000111100101100010010101,2,1
19592,1111001110101000010000100111111101011011000101100100011010010100,0,0
19597,1101111011111011010110110101001111111111100101110101101111110101,0,1
19602,1000010111110110110011100001100111001111011001110010000100000100,0,1
19607,1101010101100110110100111010010011001111101101110110110101110101,2,1
19612,1100010111100110110101101011010011011111101100111100101101111101,1,1
19617,1111000011100000100110000100101011010111010101000000010000010101,0,1
19622,1101010000110011110100101110001001101011010101000001011000100101,0,1
19627,0001010000010101010100101000000100001000000001000110000000000000,1,1
19632,1100110111111000110101101001001011001001010001100100011000000101,0,1
19637,1101000001110101111011101010101011001111010000000011001101000111,1,1
19642,1100010111111010111101101001101001111111010101011110100001101111,0,1
19647,1001111000111001110100101011001011001110100110101100000101100001,1,1
19652,1100010110110101111100101000000010111101000000111100010000001101,2,1
19657,1011100110101110000000000110001000100011010011000000000100111100,2,1
19662,1011100010001110000000000100001001101011010011101000000100110000,2,1
19667,1100100011001110110011100011011101011011101110101011011101101011,0,0
19672,1100100010100000110110101001101011001001010001011011000110110100,0,0
19677,1100110100110001110110101011000011001011010001010011011110100101,0,0
19682,1110001110110111110011101100100110101111010100010101011100000110,2,1
19687,1111000100110011110011100101110111101011010110010100011111100110,2,1
19692,1110100001110011010101100100001111111011000100000101011100100101,2,1
19697,0010101010100110110010110010001011111011010011000100000100111011,1,1
19702,1110100111111011111000101010001011011011010111010110000101111101,0,1
19707,0100111010110100111100110000000101011111111101010100010110111101,1,1
19712,1110010011110111110001101111000011101011110111010010110100110101,1,1
19717,1100010111101111111110101010011101011101010101110101000101111101,1,1
19722,1110010111101100111111101001101101001001110100101101011101111111,2,1
19727,1110001000110111110100101011001001011111010101000110010110000101,0,1
19732,1100010111010111111011110000011111001001010011000110100101011011,1,1
19737,1011100110110111010001111100101010001011100100011100011010010111,1,1
19742,1100000011110001111011100010100011001011010000011001001101010110,2,1
19747,1110011011100111110111111100001001101101000101000110000101011110,0,1
19752,1100001110110001111101100011001001111011100010111110101011110001,2,1
19757,1000000010110000111001101001100111001011010100010000010000100100,0,1
19762,1110110001100101110001000001011011001001010111001011010101101101,0,1
19767,1110110001100110110001100001011011001001010111111011001101100101,2,1
19772,1011110001100010111110101111010111001001110110011110011110101001,1,1
19777,1110100100111011110110100100000101111011110001100110101110110101,1,1
19782,1101110110110010111010100010001101101001011111110100011011111000,1,1
19787,1011110000111110111000101010010101001111100011100110011111110101,0,1
19792,1001010010110010111001110111010010011011111010110001010000101101,2,1
19797,0100000010100000110100100000101101011111010111000111011100100100,0,1
19802,1100110010111000011100100100011010111001110000010000001101110001,0,1
19807,1110110001101011110000110011101111100011110001010100110100010101,0,1
19812,1110100011101111110111101101001010001001010100110010010100100101,2,1
19817,1001111000100011010000101001101111011011011100010100100011101100,0,1
19822,1111000111101111111001110010001111001111000000011111100111110101,0,1
19827,1001010000100000110110101011001011101111011111111110000100111111,2,1
19832,1011100111110010110000100101111111001011010100110111001101100111,0,1
19837,1011100011111111110001110010111111011111010010010011101100100110,2,1
19842,1110010101110111111100101000011111001011010101000101110100111101,1,1
19847,1011111011100101111010101000101010111001100000110000011010101010,0,0
19852,1111010001110110110111100100100111111011010111010101111100100110,1,1
19857,1111110111100001111110111011011101011011110011010111110101111111,0,1
19862,1111011111111110110110101111001101001011110110000110011101111011,1,1
19867,1100010110100100110000101000100101101001110101010000000000000110,0,1
19872,1111000011100001110100111001001001111111111101001111010110011100,2,1
19877,1100111111100101111010100011001101001111000100010101001100110101,0,1
19882,1000010011110010110011101100100011101111010111010110111010110111,1,1
19887,1110001010110111111110101011001111011011110011011011001101011110,2,1
19892,1100011011110101110110101101000111001101111111001110011110000101,2,1
19897,1011100111100110110100101000110101101001010100101101101001000101,1,1
19902,1100110000110010111000101101001111101011110101010100000101100111,0,1
19907,1010000010001000111100100000000001001001010011010010000000000000,2,1
19912,1011010011110110111001101010011111101101000110100110111111110010,1,1
19917,1111010011110110110010101101000111001011111010000010010100100101,0,0
19922,1111010111110110110111101100100011101111010110111110101111010110,2,1
19927,1100111011111101110001101001111011001101000100010010001101000101,1,1
19932,1110011011110000111011101010100111001011010100000010011101110111,2,1
19937,1110010011110110111011101000100011101011010111000010111101010111,1,1
19942,1011011111111111010010101000101111101111101100010111101101110101,0,0
19947,1101110011111001111101110110010111111101111100000110110010110101,1,1
19952,1000000001110000110100101000100111001011110111000101011100100100,0,1
19957,1101010011111000111101101011011011001011011011010111111010110111,2,1
19962,1101100100111110010010101100101101011001100100011101110000101011,1,1
19967,1011110000100011110010110010111000011000011110010100110100111000,1,1
19972,1101100010110100110010101010101111111011110100011110011001100111,1,1
19977,1101100010110000110010101000001111111011110100011110011001100111,1,1
19982,1100110010110000110010101010101110111011111100011110011001100111,2,1
19987,1101010110101111110100111010010111111011000100110100001101100101,0,1
19992,1101110011000100111110110011001111001011011111110100110101100001,0,0
19997,1110000010100101110111100101111101111011110100000110010100100111,2,1
20002,1100010111100101111111111011000111001111000100001101001100100101,1,1
20007,1110001111111011110001101001001101101011011111010110001111101111,2,1
20012,1010010010100111110101101011001001101111100000111110100100000111,1,1
20017,1110010001100111110100100111000011001011011000010010010100100101,2,1
20022,0000111000100000110101100011001101001000100100010100110010100011,0,1
20027,1110001000111001010101100100001011111001000100000100001001000000,2,1
20032,1110010010110010010100101111111001011011010010011000000100111001,2,1
20037,1010110110101110010010101011001101111001110101001111001000100001,1,1
20042,1111010000110101110101100111011011011111011110101101011111010100,2,1
20047,1101111011111101111001111110111011111111111111110110111101011111,0,1
20052,1111111110100011111111101111111001111111011111111111111100111101,0,1
20057,1001111010110010110100111010000010011011011000110000100101101100,1,1
20062,1000101010100010110000100010101111111011000111000100011001100000,0,1
20067,1111001011110111110100101011001001011111010101101110010111100101,2,1
20072,0000010000100010010001100000001101111111110101101100110001110100,1,1
20077,1110111000110000010110100000001000001001110101110110001100100101,2,1
20082,1100010111100011110111100110000101011111010111000110010000100111,2,1
20087,1101001000110100111100101010010101001101000001100110001111110101,1,1
20092,1101010000101000110011100011000111111001110100101000001000100011,2,1
20097,0100111010110010101101010010011101110111000110001010000100111100,1,1
20102,1100110011101000110011101100101011101111010101011000100000110111,1,1
20107,1100110011000101111000110110001011001101010111010010111111100001,2,1
20112,1111010010111110110100101100100111001011010011000100110100101101,1,1
20117,1100000100100001111101100011100101001111010110101101001111001110,2,1
20122,1111000010101111110000101010000101101111010111010111111100110100,2,1
20127,1111001011101011110000101110100111101111011111010111010100110110,0,1
20132,1111001011101011110000101011100111101111011111010111010100110110,1,1
20137,1011000011101111110000101010100111111111010111010111010101111110,2,1
20142,1011110011111011110010111011011111101101110111011011110111110101,1,1
20147,1011110011101111110100100111111101011111011101111111000101110110,0,1
20152,1110100111110111110000100000001011001001100100100001011100000101,0,1
20157,1010011010100001010000110001101001011011010100010000000000111001,1,1
20162,0011011010110001010100111001101001011111010100011000000000111001,0,1
20167,1011010010110011010100101001101011011111010100111100000000111001,1,1
20172,0000001000100001100101100110101001011011010000000000000110111100,1,1
20177,1111010011110010111110101010000011101001001010110110010101110001,2,1
20182,1000010000100101011000101100000101111001100110000101011110100101,2,1
20187,1110111101111100110011101000011110111001011111010100011100101111,1,1
20192,0100101000111000110000000001010001001011110100010110000100100000,2,1
20197,1000101011111001011111100000001101111001110111100111000000001011,1,1
20202,1101001001110010110111101001100111011011010111110110001101100110,0,0
20207,1010010111100110110010100001000101001111000111010001001100110101,0,1
20212,1111011011111010110100101111100111101101001111011100010010110100,0,1
20217,0001100000110000111110101010001001101011010111110111001111110101,0,1
20222,1101000001110010110000111010011101111101111001010011001100011111,2,1
20227,1101010011110101111100110010011101101101001001011100001011100111,0,1
20232,1110111010101111111111100111001111001011011011011111100101010100,0,1
20237,0000000100101001110100010011100011001011100000000001001100000100,1,1
20242,1000110010110100010010111010011101001000000100110100100010100100,0,1
20247,1011110001100111110111101010000101011011011100011101110110110001,0,1
20252,1001111111111000110100100101011001101001011101010110011001110100,1,1
20257,1011010001110111110010101010000011101011010111000100010111100101,2,1
20262,1001010011100111110010101010001011101011010111000110010111100101,0,1
20267,1111010011110111110010101010000011101011010101000110010111100101,2,1
20272,1110010001110111111100101010100111001011010000001101011110100111,0,1
20277,1110001010110100110010100011001101001001010110110001001101111101,1,1
20282,1010100000100011110100101110101001111011111000010011001100100100,2,1
20287,1101110110100111111100000011111111101011110100000100110110100101,1,1
20292,1011011010100010110111100010101110011011010011110110000100010100,0,0
20297,1000010101111000010000100000101000001010000001110001000000110001,0,1
20302,1001010000010100110001101100001101001001111000010101001101100101,0,1
20307,1110110010101000111011101011101110001101010001011100110101110101,2,1
20312,1110100101110111111100101111001001001011001101110111100110010101,0,1
20317,1000010110110101111010110011100101001111101110010101100101010100,1,1
20322,1000110010111111111000101010000101011011111001010101011110111100,1,1
20327,1111000000111001110100101000001101001101110100010100001000000101,0,1
20332,0100111010111010111011110100011001111111010101100111011000110100,0,1
20337,0000111110111000111011110100011001111111010101100101011000111110,1,1
20342,0000111111111100110011110100011001111111010101100101011111111110,2,1
20347,1100010111110111110101110011111001011100010111111110010101110011,1,1
20352,1000111100110100111111100010001001111011000101111101010000100100,2,1
20357,1011110101101000111100100100001001111011110100010111001101000001,1,1
20362,1101110111111011111000100011101101001001010111000110101111111111,1,1
20367,1100010111100101110111101101001111001101111101111100011101100101,0,1
20372,1000100000100001101011000000101000101001010000000101001110000110,0,1
20377,1010010110100000110010100001000001001111010011010010100110000100,1,1
20382,1011010001111000110001101011011101001011010100100010011101111111,0,1
20387,1100010110001101111010100010000101111111111001011011001001100001,0,1
20392,1110110101111111111111110001000001101001011100110000110100100101,1,1
20397,1011100010110111111001101001001001101101000000010011011010111001,2,1
20402,1001110010101110111100110100001111101111100001011100000110110101,0,1
20407,1010000111110001110001100110000011001011000101010010001111000110,1,1
20412,1100100011110111111110101011001101011011100111110110001111110001,0,1
20417,1000001011101011111100110111001111001101010101111101111010101100,2,1
20422,0011000001101000110101110000011001011111001100001100110100100111,0,1
20427,1000011000111000110101101011001001001111011010010010010101110101,2,1
20432,1111001111110110111110101010000101001011100101100101011101110101,0,1
20437,1000010011101000110100100010000000001001011000111000000100100100,2,1
20442,1100101011110000111101110100101010111110011111010011101101100101,2,1
20447,1011000001111100111011100111111011001001010100000110011101000110,1,1
20452,1000011111110101111010110011100101001111111111110111000110011101,0,0
20457,0111001100100000111001101010001111101011000100001000001000111000,1,1
20462,1101010010101111110000101011101111111011110111000000010100110101,1,1
20467,1101010111110101111011101011001010111011000101010001101000010101,0,1
20472,1110010010101001011100100000100011101011110100010000001001100000,1,1
20477,1100111011101000110011111100010111111111010101010000100000100111,2,1
20482,1101101000110001110011101001101001001011010110100101011000100101,0,1
20487,1110100010101110111010101011111111101011010101001100010111010101,1,1
20492,1010011011110011110100101110001001001111010111111111011100110101,1,1
20497,1110000011101101011100110111000111111111010110011010101100100100,0,1
20502,1110111011111110111111100110000101011011100001110101011110011101,0,1
20507,1010110111110110110001100000001111001001010001110000011110110101,1,1
20512,1001110101101001110100110001001001001011010101101111000000110101,0,1
20517,1111111100110100110100100010011100101101010001000011001000000111,0,1
20522,1101001010111001110110101111000101111011110100001111011100110111,0,0
20527,1101000011101010010010101000011111011011111110001110010101100111,0,1
20532,1000000010100000110100101000111101001111010110111100100011010100,1,1
20537,1100010000101110010001100101100111111011010111010000110001111110,2,1
20542,1010001111101010110010110110011011011011010100100001100000111101,1,1
20547,1100000000010101010001101001100101001111110110100000010001101011,0,1
20552,1000010011101110010000100110110011111011110100010111001111100101,2,1
20557,1110111000100010110001100011011100111001011001010100011111111110,0,0
20562,1100011000100010110001100011011101011101001100010100001101110111,2,1
20567,1011010011110110010101101110001111001111001111111100000110110011,1,1
20572,1101010011110011010110111110001001101011010101110000110100100101,2,1
20577,1110011101110111111100101011000011001011110000100101010101110101,0,1
20582,1000011100110011110000101000000011011011000100111010001010100100,1,1
20587,1111011111110110110101100111001001111001001111110101001101110111,2,1
20592,1100110011011010111001101010000111111001101100110100010000110001,1,1
20597,1100010010110100111100101011000111011101110100111100001000110100,1,1
20602,1111000011101110010000100100110001111011111000010011001111100101,1,1
20607,1101111001111001110100101101000111111111110101110101101010101101,0,1
20612,0100010000100000110010101000000101101011100100001010100001100100,1,1
20617,1111011011110100110000101000000011011011110111111010100101100101,2,1
20622,1100011111111011111011100011000011101111010100011101100100000101,2,1
20627,1100011101111011111101100010000011101111010101111101100100100101,1,1
20632,1100110111111111111000111101001011011111110101001011011011111110,0,1
20637,1100010000101000110001110000010000101000000001011001000100001100,1,1
20642,0000000000101000110101100000000001011001011000010000000000000110,0,1
20647,1011010011100111111111101011000101111011010010001110001101100100,0,1
20652,1100110011111101111010111010001010111011100100110000110110110011,1,1
20657,1011011110100111110111111110111101101111111111111100000110110010,0,1
20662,0011011110100111110111111010111101101011111111111100000110110000,0,1
20667,1111000001101111110100101010000001111011011010001010100100110101,1,1
20672,0000110001110100110001101010001101111111010101111101010101010111,1,1
20677,0011011110100101110101101000001001111111010101101101010101011110,0,1
20682,1011000101110111111001101011000001001011000100000010111111110101,2,1
20687,1100110000110010110001101001000001011011000111010000100000000110,1,1
20692,1000000011110000110100110010001001001011010000010010001100100111,1,1
20697,1010000011110101111011111010000011101001110110010000100010111101,1,1
20702,1101110101100000110101100001100101011011110101111000011101001101,0,1
20707,1100010010110000010010100010000111001111010111011000000111100110,1,1
20712,1110010001111100110111100000100111111111010100010111011101100110,1,1
20717,1110010100110011110101101100100011101011001011110100011110100111,2,1
20722,1111110101101100111110101010011101001011110110001110010101110111,1,1
20727,0101110111111010110110101010001101101111111011100110010100111111,1,1
20732,1110111111101100010110101010001101111101010111101110010111111011,0,1
20737,1111111110100111111001101011111011111111011111101011010100111101,1,1
20742,1101101110100111111111101111111101111111001001111110011101111101,0,1
20747,1111111011111111110110100111011110001011111111111111001000110110,2,1
20752,1011001100110100111111100111110111001011011010010010101011101110,0,1
20757,1111100100100110110000010000111011101001010111000000010100111100,0,1
20762,1100111001110001110101111000001010101001000000101101011011100101,1,1
20767,1011010111110011111011110110101011001101110111010000010100110101,2,1
20772,1110101001110010010001100001001101011111010110000100101001101111,2,1
20777,1110011011110001011000101010100001101011010100101011010001000111,1,1
20782,1000011001100110110100101010000111101011010111110100010111110101,0,1
20787,1000010011100100110000100110011111101011111111111100011111110100,0,1
20792,1110110011101100011100101110011011001101010001111100010110110110,2,1
20797,1010110101100110110000100111001011101111010101000100011111110111,0,1
20802,1111110010110000111100101110001101111111011111010110001000111101,0,1
20807,1100011010000100111101101011110111001001000101110100010001100101,2,1
20812,1100010010100001111000100010100001001111000101001011101001110101,2,1
20817,1101010001100100010100111110101101011001010100111110011101101010,0,1
20822,1010001000110000010001100001000101101011010110000100000001101110,0,1
20827,1100110111110101111110101001001011001001011110100001111110110101,2,1
20832,1010010100101111110001100001010001011101000000010001011000101110,2,1
20837,1110001010110001110010100100010101101001010110000111010100100110,2,1
20842,0000011000110000010110101010000011011101110100101100010000001111,1,1
20847,1010100101111110010100101000010011011001000110000000100110100101,1,1
20852,1110000111110101110011110010101010011111011010010101011100110110,1,1
20857,1000100011100101110000111001000111101100000100000010000100101011,2,1
20862,1110010100110110110111101100100011111111110110101100011101000110,1,1
20867,1000000000110010110101111000011001111111111101111110101100111101,2,1
20872,1001001011110001010110100000000110001000001110000100001001101000,0,1
20877,1001010010100100110100110000000010001110100010010000000001110001,0,1
20882,1100000001000101010001100001110001011001000000010100010000001000,0,1
20887,1110101001110011110001100111000111011001111110000110011000101011,0,1
20892,1011011101100001110101100110010011111011011100011010111010110011,1,1
20897,1111011111101001110101100110010011111011111100011010111010110011,2,1
20902,1110011000100110110011101010000101011101111001110000010001110101,1,1
20907,1011010100100010110001101101111111011011111110110100110000100111,2,1
20912,1110010001100111110100101110000001001111010101101100011110100111,1,1
20917,1010010101011110111110101110111111111111101101011101011110011101,2,1
20922,1010110000110010110001110100101111101011010011010100011110111110,0,1
20927,1110010111101101111110111001001101101111010101101101011101110101,1,1
20932,1100010001100111111000110111000001011111011111011010110101100101,1,1
20937,1101011001111000111101101010001001011001001100010111111011110111,1,1
20942,1010000011100110010000110010001001001001010110010010101100100101,0,0
20947,1000001001100011110101101110000001101101000101001101000111110101,1,1
20952,1111010001110110110011100000101111001111011010010110001100000111,2,1
20957,1011010010100100110010110110111101001011111100011110011110110101,0,1
20962,1100100011111100010000111000011111011000000100011010100101101001,1,1
20967,1000110111100110010000111000011101001011110110010010101101000100,1,1
20972,1111001101100011110101101010010111111011111110011011111111110111,1,1
20977,1001110011010000010010100100000011011000010100110101001000100001,2,1
20982,1101110001111000010000101100111011011011010000010000011100111101,2,1
20987,1101011010101111110111101010010111111011010100111100101010100100,2,1
20992,1001000001110010110101111000011001111101111101111110100100011101,2,1
20997,1110010011000110111100110001000001011101000010110110011101010001,1,1
21002,1100011111100001010100101000001011001101010111011110000010000101,1,1
21007,1010100111100010111000101000000111111001110000010101001100100100,1,1
21012,1001110011111110110100101010101001011111011101111100000000000111,0,1
21017,1011111011111110110100101010101001011111010101101100001000010111,1,1
21022,1011100010111110110100101011101001111011010111101100000100110111,0,1
21027,1100111110110100110100110111001000101111100101010100011101111101,2,1
21032,1011001110100111110001100010101011011111000100011110000100011101,1,1
21037,1000011001111001111100101010000111001011011011000100010110100100,1,1
21042,1111011100100011110011101000000001001001010111011101000110100101,2,1
21047,1101000111101011110000101100001011101111011111110011000101111101,1,1
21052,1011011100100011110101110000011001101011110111111111010110110000,0,1
21057,1111010111100110010101101000101111001101011001010111010111110101,1,1
21062,1000001111101100110101100111001011001101011101110100111110100100,2,1
21067,1011010010100110111110111110001101101111100111111100011110000101,2,1
21072,1110011101111111110111100001110001101101010100000100110101101111,0,1
21077,1110110001101101111000101011010101111111111001011001000010100011,2,1
21082,1011101111111111111000100010101111001110000101011110101111110001,1,1
21087,1111110110101100110101101101111100011011011111111111111101110100,1,1
21092,1101111111101111110111101011111101111111101101111110011101111111,1,1
21097,1000001010110000110110101000101100011101010111101110000111100100,1,1
21102,0110000111110110110001100010001001011001110110010010001000010100,1,1
21107,1111100111110110110001100010001001011001100110110010011100110100,0,1
21112,1110001100110101110110100010101100011101111101010110000100100101,2,1
21117,1000011111111111111100101000000101011011010001110100110110101100,1,1
21122,1100010111110101111000110011100101001111110011010111001100011101,1,1
21127,1001100001100100110000001011101001101011010110000010000111101101,1,1
21132,1100010111110100110011101110001001101111001101110111000101110111,2,1
21137,1100110111110110110011101100001011101011101111110111000101110101,0,1
21142,1111010111111100110011101100001011111011001101110111010101110111,2,1
21147,1100010111111110110011101110101111101011000101110111000101110101,1,1
21152,1001100101101100110110100011101101001101100100011110101111100101,1,1
21157,0011001010100011111001100011101011011011010100001110001100011100,0,1
21162,1011110100100001010100111010001011001101110110111100000001110100,2,1
21167,1001111101111101111111110000011001101011110101101100101101110111,0,1
21172,1011110100111111111001110110011111111111101111011110011111001011,0,1
21177,1101010010110000110100001001101001011011110100100000010101101110,0,0
21182,1010110010111111110000111100100101111001000001111101011101101111,0,1
21187,1110101010111011110000110100100101111001000101111101011101101111,1,1
21192,1110100010110000100000010010001111100011100000000110100101100100,1,1
21197,1100111111111100110000101010011111101001101100110110001101100010,2,1
21202,1111110111100111011110101011011101001111110010001110011101111011,2,1
21207,1011111010110010110000101010011101001011010111001000011110110111,1,1
21212,1010100001111110010100111001000001111111100110011111001111111101,0,1
21217,1000010010111001110101111000100001111101110100011110110001101111,1,1
21222,1111110111100101110110101101100010001001011000011010000100110100,2,1
21227,0010111000110011110100101110000011001110000111001100001101100010,0,1
21232,1110110011101110110000101100101101101011010110010011011100110101,0,1
21237,1111111111111101010110101010001101111001001111101110111110110011,0,1
21242,0111100110110000110100010010011111111011110111001010001100111101,1,1
21247,1010010010100110110001100000011011111111010111110101010101011110,2,1
21252,1110110001100010010001100101101011001101110101011000101100111100,0,1
21257,1100010001101010010001100101101011011111110110010010101110111110,0,1
21262,1111111000110010110110101011001001101011111111011000111111110110,0,1
21267,1101011011111010111010101100111011111101101101011110101111100101,1,1
21272,1110110001100110110110101000001001001011110110000111011100110101,1,1
21277,1000110011101100111100100110011000011001011011010100000100110110,0,1
21282,1100110100110000010100101100001001001011000101110101000011100100,0,1
21287,1101000010101110111001111001001011111011111111001010000100010101,0,0
21292,1111000100110100010101101101101011011101000100011110111110111110,0,1
21297,1000100010110100010010111000000011001101001000011000000011100100,2,1
21302,1101000111111110111100101011011101011011111111010111001111110101,2,1
21307,1101010111101110111000101011011111011011111111010111001111110101,1,1
21312,1101000111111111111100101011011101011011111110111111011101110101,0,1
21317,1000100111010101111001100111001001111101111101111100011011111101,1,1
21322,1100011110111101111001110011111001111111000101110110111011111101,0,1
21327,1100100111110111111101101010001101011011100000000101011111010101,1,1
21332,1100110001110010111101101010101100011001100000010101011110010111,0,0
21337,1011010000100010110110100010001111101111010111110010010100111111,0,1
21342,1111010111101111011011101110111001001001010111110111111101110010,1,1
21347,1011101010100001110010101100100011111001111100011001000010110101,2,1
21352,1000000010101010010000101000000101101111000100010001010000110100,0,1
21357,1000010111111101010011101000011101001111000100010011011101110101,0,1
21362,1010010011100110110001100000011001111111010111100101010101011111,0,1
21367,1001010101000100110101101100000011101111100101111110000001101001,1,1
21372,1110000011101101110001101000101011101111001100010010011101000101,0,1
21377,0000010100100010110110101110011001011111110101010100101110110100,0,1
21382,1010011111110010110001101110111001111111011111011100110110110101,1,1
21387,1111000011110010110010101000011011001011010111101111010101111101,0,1
21392,1010010000100101110001101010000111101101011010011110110011110111,0,1
21397,1100111011111111110100100011011101111100000100111110000101000011,0,1
21402,1111000011101101110000101100011011101111010100010011000100110100,1,1
21407,1100010001101001110100101010100101111111010101001100011100100111,1,1
21412,0011001000101010010100101100010111111011010101010110001010101101,2,1
21417,1111001011110101110101100010100001011111110111000000011000111101,2,1
21422,1111110100110101110100111010000011001111000100010010000111101000,0,0
21427,1010100011111000011001110100011001011001001000100110001100110001,1,1
21432,1001110010110000110110101100000011011001111100111101010010100101,0,0
21437,1110010111110101110011000011001011001111101110110001000100101110,0,1
21442,1111010001101111110101101000100001111011110101001010110100100101,0,1
